Siparis_ID,Siparis_Tarihi,Musteri_ID,Ad,Sehir,Urun_ID,Kategori,Birim_Fiyat,Adet,Toplam_Tutar
5001,2023-09-24,M061,Elif,İstanbul,U020,Giyim,461,3,1383
5002,2023-07-15,M057,Zeynep,Antalya,U020,Giyim,461,2,922
5003,2023-10-22,M055,Mustafa,Bursa,U011,Elektronik,1480,3,4440
5004,2023-07-20,M059,Canan,İstanbul,U013,Elektronik,1127,1,1127
5005,2023-06-11,M056,Ali,Bursa,U005,Kitap,454,1,454
5006,2023-10-24,M082,Ali,Antalya,U007,Elektronik,3314,2,6628
5007,2023-09-05,M047,Hüseyin,Bursa,U018,Giyim,130,1,130
5008,2023-07-13,M078,Hüseyin,İstanbul,U002,Kitap,197,2,394
5009,2023-10-27,M029,Hüseyin,Bursa,U002,Kitap,197,1,197
5010,2023-09-01,M013,Canan,Bursa,U019,Elektronik,4784,1,4784
5011,2023-09-10,M039,Elif,Bursa,U002,Kitap,197,3,591
5012,2023-06-20,M098,Ayşe,Bursa,U014,Kitap,374,2,748
5013,2023-10-04,M098,Ayşe,Bursa,U007,Elektronik,3314,1,3314
5014,2023-09-28,M022,Fatma,İstanbul,U013,Elektronik,1127,2,2254
5015,2023-07-16,M005,Mustafa,Bursa,U006,Kitap,125,3,375
5016,2023-07-10,M091,Ali,İstanbul,U014,Kitap,374,3,1122
5017,2023-06-25,M083,Mustafa,İzmir,U013,Elektronik,1127,2,2254
5018,2023-06-28,M016,Mustafa,İzmir,U008,Giyim,303,2,606
5019,2023-08-14,M093,Hüseyin,Antalya,U010,Kitap,187,3,561
5020,2023-08-28,M084,Elif,İzmir,U004,Giyim,124,3,372
5021,2023-08-02,M080,Elif,Bursa,U016,Elektronik,2627,3,7881
5022,2023-07-11,M038,Fatma,İstanbul,U001,Elektronik,2389,3,7167
5023,2023-06-25,M050,Ahmet,Bursa,U008,Giyim,303,3,909
5024,2023-06-26,M082,Ali,Antalya,U016,Elektronik,2627,3,7881
5025,2023-07-26,M052,Ayşe,Ankara,U019,Elektronik,4784,2,9568
5026,2023-07-19,M046,Canan,İzmir,U003,Kitap,388,3,1164
5027,2023-06-07,M072,Mustafa,Bursa,U017,Giyim,395,1,395
5028,2023-06-05,M052,Ayşe,Ankara,U002,Kitap,197,3,591
5029,2023-07-16,M056,Ali,Bursa,U011,Elektronik,1480,3,4440
5030,2023-08-23,M007,Zeynep,İstanbul,U012,Kitap,276,3,828
5031,2023-06-05,M061,Elif,İstanbul,U006,Kitap,125,1,125
5032,2023-07-22,M017,Fatma,İzmir,U010,Kitap,187,1,187
5033,2023-10-18,M032,Ayşe,İzmir,U013,Elektronik,1127,3,3381
5034,2023-10-20,M077,Fatma,İstanbul,U014,Kitap,374,1,374
5035,2023-07-02,M017,Fatma,İzmir,U001,Elektronik,2389,1,2389
5036,2023-07-02,M008,Mehmet,Antalya,U006,Kitap,125,3,375
5037,2023-06-04,M050,Ahmet,Bursa,U003,Kitap,388,3,1164
5038,2023-09-16,M056,Ali,Bursa,U006,Kitap,125,1,125
5039,2023-06-14,M071,Ali,Bursa,U006,Kitap,125,3,375
5040,2023-09-26,M049,Ayşe,Bursa,U019,Elektronik,4784,2,9568
5041,2023-06-09,M043,Elif,İstanbul,U006,Kitap,125,2,250
5042,2023-10-04,M081,Fatma,İzmir,U015,Kitap,278,3,834
5043,2023-06-19,M092,Zeynep,İzmir,U012,Kitap,276,1,276
5044,2023-07-16,M034,Mehmet,Ankara,U009,Giyim,407,1,407
5045,2023-07-10,M059,Canan,İstanbul,U001,Elektronik,2389,2,4778
5046,2023-08-18,M011,Ali,İzmir,U017,Giyim,395,1,395
5047,2023-10-16,M099,Canan,Antalya,U004,Giyim,124,1,124
5048,2023-08-25,M037,Ahmet,İzmir,U020,Giyim,461,1,461
5049,2023-10-11,M074,Canan,İzmir,U009,Giyim,407,2,814
5050,2023-06-16,M066,Elif,Ankara,U005,Kitap,454,3,1362
5051,2023-06-16,M008,Mehmet,Antalya,U020,Giyim,461,3,1383
5052,2023-06-04,M028,Mehmet,Ankara,U018,Giyim,130,1,130
5053,2023-09-16,M019,Elif,İstanbul,U010,Kitap,187,1,187
5054,2023-10-11,M004,Ali,Ankara,U012,Kitap,276,3,828
5055,2023-10-01,M091,Ali,İstanbul,U004,Giyim,124,2,248
